index;Heure;Jour;Mois;Année;Pression_au_niveau_mer;Variation_de_pression_en_3_heures;Type_de_tendance_barométrique;Direction_du_vent_moyen_10_mn;Vitesse_du vent_moyen_10_mn;Température;Point_de_rosée;Humidité;Visibilité_horizontale;Temps_présent;Pression_station;Rafales_sur_une_période;Periode_de_mesure_de_la_rafale;Précipitations_dans_la_dernière_heure;Précipitations_dans_les_3_dernières_heures;Température(°C);consommation;datehour;datemonth
80295;23;9;1;2013;102160.0;230.0;1.0;10.0;5.1;296.75;281.25;37.0;60000.0;2.0;102070.0;8.7;-10.0;0.0;0.0;23.600000000000023;20819.0;23;1
12515;2;10;1;2013;100770.0;50.0;3.0;330.0;2.6;292.75;286.65;68.0;60000.0;0.0;100680.0;5.1;-10.0;0.0;0.0;19.600000000000023;16679.0;2;1
12521;5;10;1;2013;100720.0;-50.0;8.0;310.0;2.1;288.85;286.15;84.0;40000.0;2.0;100630.0;2.1;-10.0;0.0;0.0;15.700000000000044;17145.0;5;1
91820;8;10;1;2013;100780.0;60.0;3.0;270.0;2.1;289.75;286.45;81.0;40000.0;2.0;100690.0;3.1;-10.0;0.0;0.0;16.600000000000023;22213.0;8;1
1210;11;10;1;2013;100870.0;90.0;3.0;140.0;1.0;296.75;288.25;59.0;40000.0;2.0;100780.0;2.1;-10.0;0.0;0.0;23.600000000000023;23940.0;11;1
64071;14;10;1;2013;100810.0;-60.0;8.0;160.0;3.6;297.55;287.05;52.0;40000.0;2.0;100720.0;4.6;-10.0;0.0;0.0;24.40000000000004;23695.0;14;1
7599;17;10;1;2013;100750.0;-60.0;5.0;170.0;2.6;295.85;288.15;62.0;40000.0;2.0;100660.0;5.1;-10.0;0.0;0.0;22.700000000000045;22485.0;17;1
7606;20;10;1;2013;100850.0;100.0;2.0;220.0;1.0;293.35;288.55;74.0;70000.0;2.0;100760.0;2.1;-10.0;0.0;0.0;20.200000000000045;22904.0;20;1
64086;23;10;1;2013;100970.0;120.0;1.0;260.0;1.0;292.15;288.65;80.0;70000.0;2.0;100880.0;2.6;-10.0;0.0;0.0;19.0;21168.0;23;1
3626;1;11;1;2013;102300.0;-40.0;8.0;310.0;2.6;284.95;280.85;76.0;50000.0;0.0;102200.0;3.1;-10.0;0.0;0.0;11.800000000000011;24849.0;1;1
94645;4;11;1;2013;102170.0;-130.0;7.0;10.0;1.5;282.65;279.95;83.0;30000.0;2.0;102070.0;2.1;-10.0;0.0;0.0;9.5;21006.0;4;1
8883;7;11;1;2013;102160.0;-10.0;8.0;340.0;1.0;281.75;279.55;86.0;40000.0;2.0;102060.0;2.1;-10.0;0.0;0.0;8.600000000000023;19851.0;7;1
8887;10;11;1;2013;102250.0;90.0;0.0;20.0;2.1;287.45;282.65;73.0;40000.0;2.0;102150.0;3.1;-10.0;0.0;0.0;14.300000000000011;21700.0;10;1
94660;13;11;1;2013;102120.0;-130.0;8.0;150.0;1.0;290.95;283.55;62.0;20000.0;2.0;102020.0;3.1;-10.0;0.0;0.0;17.80000000000001;23792.0;13;1
94669;16;11;1;2013;101940.0;-180.0;6.0;140.0;2.6;290.45;285.75;74.0;25000.0;2.0;101840.0;3.1;-10.0;0.0;0.0;17.30000000000001;21939.0;16;1
3640;19;11;1;2013;101910.0;-30.0;5.0;140.0;1.0;289.95;286.45;80.0;20000.0;2.0;101810.0;2.6;-10.0;0.0;0.0;16.80000000000001;22817.0;19;1
94675;22;11;1;2013;101870.0;-40.0;6.0;30.0;1.0;287.75;285.45;86.0;15000.0;2.0;101770.0;3.1;-10.0;0.0;0.0;14.600000000000025;24216.0;22;1
